符号,货币,国家和地区,ISO代码,辅助单位[9],进位制,软件开发状态,货币状态,鉴伪状态,备注,Unnamed: 10
₩,韩元,韩国,KRW,钱,100,初步开发,,,,
₱,菲律宾比索,菲律宾,PHP,分,100,初步开发,货币不全,鉴伪不全,"缺22版100、1000(纸币)、1000(塑料币)
缺23版500",
₾,拉里,格鲁吉亚,GEL,特瑞,100,,,,,
₾,拉里,南奥塞梯,GEL,特瑞,100,,,,,
₾,拉里,阿布哈兹[1],GEL,特瑞,100,,,,,
Т,坚戈,哈萨克斯坦,KZT,提因,100,初步开发,货币不全,未做鉴伪,"缺06版200；
缺14版1000；
缺22版20000；
缺25版500、20000；
缺24版本1000、2000、5000；",
៛,瑞尔,柬埔寨,KHR,仙,100,初步开发,货币不全,未做鉴伪,"缺22版200、2000；
缺16版1000；
缺15版5000、10000；
缺13版50000；",
С̲,索姆,吉尔吉斯斯坦,KGS,提因,100,,,,,
ر.ق,里亚尔,卡塔尔,QAR,迪拉姆,100,初步开发,,,,
د.ك,第纳尔,科威特,KWD,费尔,1000,初步开发,,,,
₭,基普,老挝,LAK,阿特,100,初步开发,货币不全,未做鉴伪,"缺15版500；
缺08版1000；
缺97版2000、5000；
缺04版50K；
缺20版10K、20K、50K、100K；",
ل.ل,黎巴嫩镑,黎巴嫩,LBP,皮阿斯特,100,初步开发,,,,
ރ.,拉菲亚,马尔代夫,MVR,拉列,100,,,,,
RM,令吉,马来西亚,MYR,仙,100,初步开发,,,,
৳,塔卡,孟加拉国,BDT,派沙,100,初步开发,货币不全,鉴伪不全,"缺12版20；
缺19版50；",
₮,图格里克,蒙古,MNT,蒙戈,100,初步开发,货币不全,鉴伪不全,"缺02版20；
缺19版50、20K；
缺20版100、500、1000；
缺21版10K；",
K,缅元,缅甸,MMK,分,100,初步开发,货币不全,未做鉴伪,"缺20版500；缺19版1000；
缺14版5000；缺23版20000；",
¥,人民币,中国,CNY,角、分,10、100,初步开发,,,,
¥,日元,日本,JPY,钱、厘,100、1000,初步开发,货币不全,,"缺24版1000、5000、10000；（24/7月推出）
缺00版2000；",
ر.س,沙特里亚尔,沙特阿拉伯,SAR,哈拉拉,100,初步开发,货币不全,鉴伪不全,缺21版500；,
ரூ,卢比,斯里兰卡,LKR,分,100,初步开发,,,,
ЅМ,索莫尼,塔吉克斯坦,TJS,坦加,100,初步开发,货币不全,未做鉴伪,"有不流通的货币需要处理
手里都是不流通的",
฿,泰铢,泰国,THB,萨当,100,初步开发,,,,
m,马纳特,土库曼斯坦,TMT,腾格,100,初步开发,货币不全,未做鉴伪,"缺09版1、5、10、20、50、500；
缺12版5、10；
缺14版50；",
无,索姆,乌兹别克斯坦,UZS,提因,100,初步开发,货币不全,未做鉴伪,"缺01版1000；
缺21版2000、5000、10K、20K、50K、100K；
缺22版200K；",
﷼,里亚尔,伊朗,IRR,第纳尔,100,初步开发,货币不全,鉴伪不全,"缺00版2000； 缺08版2000K；
缺22版1、2； 缺21版5；",
﷼,里亚尔,也门,YER,费尔,100,初步开发,货币不全,鉴伪不全,缺09版250；  缺16版5000,
ع.د,第纳尔,伊拉克,IQD,费尔,1000,初步开发,,,,
₪,新谢克尔,以色列,ILS,阿高洛,100,初步开发,货币不全,鉴伪不全,"需要确认Series B是否还在使用
Series B: 缺08版20、99版200
Series C: 缺13版50",
د.ا,第纳尔,约旦,JOD,迪尔汉、皮阿斯特、费尔,10、100、1000,初步开发,,,,
₫,越南盾,越南,VND,角、分,10、100,初步开发,货币不全,,"缺92版100；
缺87版200；
缺89版500；",
₤,马耳他里拉,马耳他,MTL,分,100,,,,,
₤,土耳其里拉,土耳其,TRY,新库鲁,100,初步开发,货币不全,,缺09版5 (E9 Emission Group First Series)；,
₤,土耳其里拉,北塞浦路斯[1],TRY,新库鲁,100,初步开发,货币不全,,缺09版5 (E9 Emission Group First Series)；,
₪,新谢克尔,巴勒斯坦[7],ILS,阿高洛,100,,,,约旦 埃及的钱也能用,
դր.,德拉姆,亚美尼亚,AMD,兰玛,100,,,,,
դր.,德拉姆,阿尔察赫共和国 [1],AMD,兰玛,100,,,,,
P,澳门元,澳门 [2],MOP,毫、仙[6],10、100,初步开发,,,还没统计,
L,列克,阿尔巴尼亚,ALL,昆塔,100,,,,,
Br,白俄罗斯卢布,白俄罗斯,BYN,戈比,100,初步开发,货币不全,未做鉴伪,"老版本(BYR)停止流通，新老版本汇率1：10000
新版本一张也没有",
KM或КМ,波斯尼亚和黑塞哥维那可兑换马克,波黑,BAM,费加宁,100,,,,,
лв,列弗,保加利亚,BGN,斯托延基,100,初步开发,货币不全,未做鉴伪,"缺20版5、10、20；
缺19版50；
缺18版100；",
zł,兹罗提,波兰,PLN,格罗兹,100,初步开发,货币不全,鉴伪不全,缺17版500；,
₽,俄罗斯卢布,俄罗斯,RUB,戈比,100,初步开发,货币不全,鉴伪不全,"缺97版10;
缺23版1000、5000;",
₽,俄罗斯卢布,"顿涅茨克
人民共和国[1]",RUB,戈比,100,初步开发,货币不全,鉴伪不全,"缺97版10;
缺23版1000、5000;",
₽,俄罗斯卢布,"卢甘斯克
人民共和国[1]",RUB,戈比,100,初步开发,货币不全,鉴伪不全,"缺97版10;
缺23版1000、5000;",
₽,俄罗斯卢布,南奥塞梯[1],RUB,戈比,100,初步开发,货币不全,鉴伪不全,"缺97版10;
缺23版1000、5000;",
₽,俄罗斯卢布,阿布哈兹[1],RUB,戈比,100,初步开发,货币不全,鉴伪不全,"缺97版10;
缺23版1000、5000;",
Kč,克朗,捷克,CZK,赫勒,100,初步开发,货币不全,未做鉴伪,"缺22版100；
缺09版500；
缺23版1000、5000；",
kn,库纳,克罗地亚,HRK,利巴,100,,,,还没统计,
L,新列伊,罗马尼亚,RON,新巴尼,100,初步开发,货币不全,未做鉴伪,"缺23版1、5、10、20、200；
缺22版500；",
ден,德纳尔,北马其顿,MKD,德尼,100,初步开发,货币不全,鉴伪不全,"缺18版50；
缺16版200；
缺22版2000；",
L,摩尔多瓦列伊,摩尔多瓦,MDL,巴尼,100,,,,还没统计,
Din.或ДИН,第纳尔,塞尔维亚,CSD,巴拉,100,,,,,
Din.或ДИН,第纳尔,科索沃,CSD,巴拉,100,,,,,
Sk,斯洛伐克克朗,斯洛伐克,SKK,赫勒,100,,,,,
₴,格里夫纳,乌克兰,UAH,戈比,100,初步开发,货币不全,未做鉴伪,"缺18版20；
缺19版50、200、1000；
缺14版100；
缺15版500；",
Ft,福林,匈牙利,HUF,菲勒,100,初步开发,货币不全,未做鉴伪,"老版本不流通，手里的都是老版本
缺所有新版",
р.,德涅斯特河沿岸卢布,德涅斯特河沿岸,PRB,戈比,100,,,,,
د.ج,第纳尔,阿尔及利亚,DZD,分,100,初步开发,货币不全,,缺92版100、500、1000；,
Br (Latin Script),比尔,埃塞俄比亚,ETB,分,100,初步开发,货币不全,鉴伪不全,缺20版10、50、100,
ብር (Ethiopic Script),比尔,埃塞俄比亚,ETB,分,100,初步开发,货币不全,鉴伪不全,缺20版10、50、100,
Kz,宽扎,安哥拉,AOA,分,100,初步开发,货币不全,,缺12版所有面额,
P,普拉,博茨瓦纳,BWP,分,100,,,,,
Nfk,纳克法,厄立特里亚,ERN,分,100,,,,,
D,达拉西,冈比亚,GMD,布图,100,初步开发,,,还没统计,
₵,加纳塞地,加纳,GHS,比塞瓦,100,初步开发,货币不全,鉴伪不全,"缺17版5(有图像数据)；
缺19版5；",
ل.د,第纳尔,利比亚,LYD,迪拉姆,1000,初步开发,货币不全,,缺16版20(East Libya)；,
Ar,阿里亚里,马达加斯加,MGA,伊莱姆比拉贾,5,,,,,
MK,克瓦查,马拉维,MWK,坦巴拉,100,,,,,
UM,乌吉亚,毛里塔尼亚,MRU,库姆,5,初步开发,货币不全,未做鉴伪,"缺20版20；
缺17版50、200、500、1000；",
د.م.,迪拉姆,摩洛哥,MAD,分,100,初步开发,货币不全,鉴伪不全,缺23版100，200；,
MTn,新梅蒂卡尔,莫桑比克,MZN,分,100,初步开发,货币不全,未做鉴伪,"缺06版20、50、100、200、500、1000；
缺11版20、50、100、1000；",
L,马洛蒂,莱索托,LSL,分,100,,,,,
R,南非兰特,莱索托,ZAR,分,100,初步开发,货币不全,鉴伪不全,"Note:不废弃货币，1961之后的货币都可以使用
缺94版200；
缺04版10、100、200；
缺05版20、50；

新：缺23版10、20、50、100、200；",
R,南非兰特,纳米比亚,ZAR,分,100,初步开发,货币不全,鉴伪不全,"Note:不废弃货币，1961之后的货币都可以使用
缺94版200；
缺04版10、100、200；
缺05版20、50；

新：缺23版10、20、50、100、200；",
R,南非兰特,南非,ZAR,分,100,初步开发,货币不全,鉴伪不全,"Note:不废弃货币，1961之后的货币都可以使用
缺94版200；
缺04版10、100、200；
缺05版20、50；

新：缺23版10、20、50、100、200；",
₦,奈拉,尼日利亚,NGN,考包,100,初步开发,货币不全,未做鉴伪,"无测试币
200、100、50、20、10、5、1缺所有版本，能点合计",
Db,多布拉,圣多美和普林西比,STN,分,100,,,,,
Le,利昂,塞拉利昂,SLL,分,100,,,,,
,苏丹镑,苏丹,SDG,格希,100,初步开发,货币不全,未做鉴伪,"缺11版2、5、10；
缺18版50；
缺19版100、200（两个版本)、1000；",
L,斯威士兰里兰吉尼,斯威士兰,SZL,分,100,,,,,
د.ت,第纳尔,突尼斯,TND,米利姆,1000,初步开发,货币不全,鉴伪不全,缺22版5、50,
ZK,克瓦查,赞比亚,ZMW,恩韦,100,初步开发,货币不全,,缺所有面额老版本,
د.م.,阿尔及利亚第纳尔,"阿拉伯撒哈拉
民主共和国[1]",MAD,分,100,,,,,
₧ (少用) / Ptas.,撒拉威比塞塔,"阿拉伯撒哈拉
民主共和国[1]",EHP,元,100,,,,,
B/.,巴拿马巴波亚[10],巴拿马,PAB,分,100,,,,,
G.,海地古德,海地,HTG,分,100,,,,,
L,伦皮拉,洪都拉斯,HNL,分,100,,,,,
Q,格查尔,危地马拉,GTQ,分,100,,,,,
₡,科朗,哥斯达黎加,CRC,分,100,,,,,
ƒ,阿鲁巴弗罗林,阿鲁巴[2],AWG,分,100,,,,,
ƒ,荷属安的列斯盾,古拉索[2],ANG,分,100,,,,,
ƒ,荷属安的列斯盾,荷属圣马丁,ANG,分,100,,,,,
C$,尼加拉瓜科多巴,尼加拉瓜,NIO,分,100,初步开发,货币不全,未做鉴伪,只有一张91版1，应该不流通了,
Bs.,玻利维亚诺,玻利维亚,BOB,分,100,初步开发,货币不全,鉴伪不全,缺19版200、100(100的有图像数据)；,
R$,巴西雷亚尔,巴西,BRL,分,100,初步开发,,,还没统计,
₲,瓜拉尼,巴拉圭,PYG,分,100,,,,,
S/.,索尔,秘鲁,PEN,分,100,初步开发,货币不全,未做鉴伪,"无测试币
有部分数据，除了21版200都能点合计",
